system	kind	n_chains	n_models	expected_models	complete	median_iptm	max_iptm	median_ptm	median_min_ova_plddt	median_min_module_plddt	median_min_binder_plddt	median_min_incident_iptm	median_contact_pair_iptm	median_contact_pair_pae	median_total_contacts	median_ova_contacts	median_module_contacts	full_connected_fraction	module_connected_fraction	unclashed_fraction	median_interface_jaccard	best_model	best_iptm	best_min_incident_iptm	best_cif
ova_body_c4_25	ova_body_c4_candidate	4	5	5	1	0.39	0.4	0.53	86.82	nan	nan	0.53	0.38	13.56	348.0	348.0	0.0	1.0	0.0	1.0	0.9	seed-1_sample-4	0.4	0.54	experiments/e126_c4_iptm80_continue_af3_seed1/out_s0/ova_body_c4_25/seed-1_sample-4/ova_body_c4_25_seed-1_sample-4_model.cif
ova_body_c4_26	ova_body_c4_candidate	4	5	5	1	0.75	0.76	0.8	89.76	nan	nan	0.71	0.705	4.01	188.0	188.0	0.0	1.0	0.0	1.0	0.9631	seed-1_sample-4	0.76	0.71	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_26/seed-1_sample-4/ova_body_c4_26_seed-1_sample-4_model.cif
ova_body_c4_27	ova_body_c4_candidate	4	5	5	1	0.82	0.84	0.85	89.84	nan	nan	0.79	0.78	2.825	193.0	193.0	0.0	1.0	0.0	1.0	0.8605	seed-1_sample-3	0.84	0.8	experiments/e126_c4_iptm80_continue_af3_seed1/out_s2/ova_body_c4_27/seed-1_sample-3/ova_body_c4_27_seed-1_sample-3_model.cif
ova_body_c4_28	ova_body_c4_candidate	4	5	5	1	0.2	0.26	0.39	84.1	nan	nan	0.15	0.145	23.14	319.0	319.0	0.0	1.0	0.0	1.0	0.435	seed-1_sample-0	0.26	0.21	experiments/e126_c4_iptm80_continue_af3_seed1/out_s3/ova_body_c4_28/seed-1_sample-0/ova_body_c4_28_seed-1_sample-0_model.cif
ova_body_c4_29	ova_body_c4_candidate	4	5	5	1	0.19	0.21	0.38	84.71	nan	nan	0.14	0.135	24.49	246.0	246.0	0.0	1.0	0.0	1.0	0.4452	seed-1_sample-1	0.21	0.15	experiments/e126_c4_iptm80_continue_af3_seed1/out_s4/ova_body_c4_29/seed-1_sample-1/ova_body_c4_29_seed-1_sample-1_model.cif
ova_body_c4_30	ova_body_c4_candidate	4	5	5	1	0.83	0.83	0.86	90.22	nan	nan	0.8	0.79	2.615	182.0	182.0	0.0	1.0	0.0	1.0	0.9487	seed-1_sample-4	0.83	0.8	experiments/e126_c4_iptm80_continue_af3_seed1/out_s5/ova_body_c4_30/seed-1_sample-4/ova_body_c4_30_seed-1_sample-4_model.cif
ova_body_c4_31	ova_body_c4_candidate	4	5	5	1	0.51	0.53	0.62	85.9	nan	nan	0.5	0.465	10.71	358.0	358.0	0.0	1.0	0.0	1.0	0.7787	seed-1_sample-2	0.53	0.51	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_31/seed-1_sample-2/ova_body_c4_31_seed-1_sample-2_model.cif
ova_body_c4_32	ova_body_c4_candidate	4	5	5	1	0.38	0.39	0.52	86.94	nan	nan	0.51	0.37	13.79	340.0	340.0	0.0	1.0	0.0	1.0	0.83	seed-1_sample-4	0.39	0.53	experiments/e126_c4_iptm80_continue_af3_seed1/out_s7/ova_body_c4_32/seed-1_sample-4/ova_body_c4_32_seed-1_sample-4_model.cif
ova_body_c4_33	ova_body_c4_candidate	4	5	5	1	0.31	0.32	0.47	86.16	nan	nan	0.32	0.22	17.4	212.0	212.0	0.0	1.0	0.0	1.0	0.7503	seed-1_sample-3	0.32	0.35	experiments/e126_c4_iptm80_continue_af3_seed1/out_s0/ova_body_c4_33/seed-1_sample-3/ova_body_c4_33_seed-1_sample-3_model.cif
ova_body_c4_34	ova_body_c4_candidate	4	5	5	1	0.78	0.78	0.82	89.7	nan	nan	0.73	0.73	3.48	190.0	190.0	0.0	1.0	0.0	1.0	0.9524	seed-1_sample-4	0.78	0.74	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_34/seed-1_sample-4/ova_body_c4_34_seed-1_sample-4_model.cif
ova_body_c4_35	ova_body_c4_candidate	4	5	5	1	0.34	0.38	0.49	87.15	nan	nan	0.38	0.25	16.43	179.0	179.0	0.0	1.0	0.0	1.0	0.7778	seed-1_sample-3	0.38	0.44	experiments/e126_c4_iptm80_continue_af3_seed1/out_s2/ova_body_c4_35/seed-1_sample-3/ova_body_c4_35_seed-1_sample-3_model.cif
ova_body_c4_36	ova_body_c4_candidate	4	5	5	1	0.29	0.3	0.45	85.7	nan	nan	0.36	0.26	19.165	362.0	362.0	0.0	1.0	0.0	1.0	0.775	seed-1_sample-2	0.3	0.36	experiments/e126_c4_iptm80_continue_af3_seed1/out_s3/ova_body_c4_36/seed-1_sample-2/ova_body_c4_36_seed-1_sample-2_model.cif
ova_body_c4_37	ova_body_c4_candidate	4	5	5	1	0.73	0.75	0.79	89.46	nan	nan	0.69	0.68	4.635	184.0	184.0	0.0	1.0	0.0	1.0	0.8391	seed-1_sample-1	0.75	0.7	experiments/e126_c4_iptm80_continue_af3_seed1/out_s4/ova_body_c4_37/seed-1_sample-1/ova_body_c4_37_seed-1_sample-1_model.cif
ova_body_c4_38	ova_body_c4_candidate	4	5	5	1	0.31	0.35	0.47	87.19	nan	nan	0.38	0.26	19.255	377.0	377.0	0.0	1.0	0.0	1.0	0.639	seed-1_sample-4	0.35	0.41	experiments/e126_c4_iptm80_continue_af3_seed1/out_s5/ova_body_c4_38/seed-1_sample-4/ova_body_c4_38_seed-1_sample-4_model.cif
ova_body_c4_39	ova_body_c4_candidate	4	5	5	1	0.81	0.82	0.84	89.87	nan	nan	0.78	0.76	3.12	200.0	200.0	0.0	1.0	0.0	1.0	0.9186	seed-1_sample-1	0.82	0.79	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_39/seed-1_sample-1/ova_body_c4_39_seed-1_sample-1_model.cif
ova_body_c4_40	ova_body_c4_candidate	4	5	5	1	0.53	0.57	0.63	87.91	nan	nan	0.55	0.395	9.97	214.0	214.0	0.0	1.0	0.0	1.0	0.7929	seed-1_sample-2	0.57	0.6	experiments/e126_c4_iptm80_continue_af3_seed1/out_s7/ova_body_c4_40/seed-1_sample-2/ova_body_c4_40_seed-1_sample-2_model.cif
ova_body_c4_41	ova_body_c4_candidate	4	5	5	1	0.82	0.82	0.85	89.66	nan	nan	0.78	0.77	2.83	192.0	192.0	0.0	1.0	0.0	1.0	0.8798	seed-1_sample-3	0.82	0.78	experiments/e126_c4_iptm80_continue_af3_seed1/out_s0/ova_body_c4_41/seed-1_sample-3/ova_body_c4_41_seed-1_sample-3_model.cif
ova_body_c4_42	ova_body_c4_candidate	4	5	5	1	0.2	0.23	0.38	85.68	nan	nan	0.15	0.14	23.115	271.0	271.0	0.0	1.0	0.0	1.0	0.4783	seed-1_sample-0	0.23	0.2	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_42/seed-1_sample-0/ova_body_c4_42_seed-1_sample-0_model.cif
ova_body_c4_43	ova_body_c4_candidate	4	5	5	1	0.83	0.84	0.86	90.45	nan	nan	0.79	0.79	2.525	191.0	191.0	0.0	1.0	0.0	1.0	0.8942	seed-1_sample-2	0.84	0.8	experiments/e126_c4_iptm80_continue_af3_seed1/out_s2/ova_body_c4_43/seed-1_sample-2/ova_body_c4_43_seed-1_sample-2_model.cif
ova_body_c4_44	ova_body_c4_candidate	4	5	5	1	0.78	0.79	0.82	89.63	nan	nan	0.74	0.74	3.315	190.0	190.0	0.0	1.0	0.0	1.0	0.9059	seed-1_sample-2	0.79	0.75	experiments/e126_c4_iptm80_continue_af3_seed1/out_s3/ova_body_c4_44/seed-1_sample-2/ova_body_c4_44_seed-1_sample-2_model.cif
ova_body_c4_45	ova_body_c4_candidate	4	5	5	1	0.41	0.42	0.54	87.53	nan	nan	0.6	0.41	12.175	330.0	330.0	0.0	1.0	0.0	1.0	0.8607	seed-1_sample-4	0.42	0.61	experiments/e126_c4_iptm80_continue_af3_seed1/out_s4/ova_body_c4_45/seed-1_sample-4/ova_body_c4_45_seed-1_sample-4_model.cif
ova_body_c4_46	ova_body_c4_candidate	4	5	5	1	0.81	0.83	0.85	90.0	nan	nan	0.78	0.77	2.77	170.0	170.0	0.0	1.0	0.0	1.0	0.8822	seed-1_sample-4	0.83	0.79	experiments/e126_c4_iptm80_continue_af3_seed1/out_s5/ova_body_c4_46/seed-1_sample-4/ova_body_c4_46_seed-1_sample-4_model.cif
ova_body_c4_47	ova_body_c4_candidate	4	5	5	1	0.85	0.85	0.87	90.96	nan	nan	0.81	0.81	2.4	199.0	199.0	0.0	1.0	0.0	1.0	0.9401	seed-1_sample-2	0.85	0.82	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_47/seed-1_sample-2/ova_body_c4_47_seed-1_sample-2_model.cif
ova_body_c4_48	ova_body_c4_candidate	4	5	5	1	0.82	0.83	0.85	90.24	nan	nan	0.79	0.78	2.605	203.0	203.0	0.0	1.0	0.0	1.0	0.8907	seed-1_sample-4	0.83	0.8	experiments/e126_c4_iptm80_continue_af3_seed1/out_s7/ova_body_c4_48/seed-1_sample-4/ova_body_c4_48_seed-1_sample-4_model.cif
ova_body_c4_100	ova_body_c4_candidate	4	5	5	1	0.81	0.83	0.84	89.66	nan	nan	0.77	0.77	3.06	170.0	170.0	0.0	1.0	0.0	1.0	0.8671	seed-1_sample-4	0.83	0.79	experiments/e126_c4_iptm80_continue_af3_seed1/out_s3/ova_body_c4_100/seed-1_sample-4/ova_body_c4_100_seed-1_sample-4_model.cif
ova_body_c4_101	ova_body_c4_candidate	4	5	5	1	0.82	0.82	0.85	89.21	nan	nan	0.78	0.77	2.785	181.0	181.0	0.0	1.0	0.0	1.0	0.902	seed-1_sample-1	0.82	0.79	experiments/e126_c4_iptm80_continue_af3_seed1/out_s4/ova_body_c4_101/seed-1_sample-1/ova_body_c4_101_seed-1_sample-1_model.cif
ova_body_c4_102	ova_body_c4_candidate	4	5	5	1	0.83	0.83	0.86	90.24	nan	nan	0.79	0.78	2.74	173.0	173.0	0.0	1.0	0.0	1.0	0.9149	seed-1_sample-4	0.83	0.8	experiments/e126_c4_iptm80_continue_af3_seed1/out_s5/ova_body_c4_102/seed-1_sample-4/ova_body_c4_102_seed-1_sample-4_model.cif
ova_body_c4_103	ova_body_c4_candidate	4	5	5	1	0.85	0.85	0.88	90.92	nan	nan	0.81	0.81	2.45	194.0	194.0	0.0	1.0	0.0	1.0	0.9506	seed-1_sample-3	0.85	0.82	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_103/seed-1_sample-3/ova_body_c4_103_seed-1_sample-3_model.cif
ova_body_c4_104	ova_body_c4_candidate	4	5	5	1	0.81	0.82	0.85	89.85	nan	nan	0.78	0.77	2.76	196.0	196.0	0.0	1.0	0.0	1.0	0.909	seed-1_sample-4	0.82	0.79	experiments/e126_c4_iptm80_continue_af3_seed1/out_s7/ova_body_c4_104/seed-1_sample-4/ova_body_c4_104_seed-1_sample-4_model.cif
ova_body_c4_105	ova_body_c4_candidate	4	5	5	1	0.82	0.83	0.85	89.74	nan	nan	0.79	0.78	2.665	187.0	187.0	0.0	1.0	0.0	1.0	0.907	seed-1_sample-4	0.83	0.8	experiments/e126_c4_iptm80_continue_af3_seed1/out_s0/ova_body_c4_105/seed-1_sample-4/ova_body_c4_105_seed-1_sample-4_model.cif
ova_body_c4_106	ova_body_c4_candidate	4	5	5	1	0.82	0.83	0.85	89.52	nan	nan	0.79	0.77	2.735	173.0	173.0	0.0	1.0	0.0	1.0	0.9286	seed-1_sample-4	0.83	0.8	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_106/seed-1_sample-4/ova_body_c4_106_seed-1_sample-4_model.cif
ova_body_c4_107	ova_body_c4_candidate	4	5	5	1	0.81	0.82	0.84	89.69	nan	nan	0.77	0.76	3.01	158.0	158.0	0.0	1.0	0.0	1.0	0.8643	seed-1_sample-4	0.82	0.78	experiments/e126_c4_iptm80_continue_af3_seed1/out_s2/ova_body_c4_107/seed-1_sample-4/ova_body_c4_107_seed-1_sample-4_model.cif
