model	chain	matched_ca	sequence_identity	ca_rmsd_a	ca_rmsd_plddt70_a	within_2a	within_3a	within_5a	cif_path
seed-2_sample-1	B	385	0.98182	1.353	0.6849	0.92727	0.95065	0.98182	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-2_sample-1/p3_dimer_msa_seed-2_sample-1_model.cif
seed-2_sample-2	A	385	0.98182	1.517	0.7279	0.94545	0.95844	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-2_sample-2/p3_dimer_msa_seed-2_sample-2_model.cif
seed-2_sample-2	B	385	0.98182	1.5182	0.6548	0.94545	0.95844	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-2_sample-2/p3_dimer_msa_seed-2_sample-2_model.cif
seed-2_sample-3	A	385	0.98182	1.5361	0.6378	0.94026	0.96364	0.97662	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-2_sample-3/p3_dimer_msa_seed-2_sample-3_model.cif
seed-2_sample-3	B	385	0.98182	1.5265	0.6303	0.94026	0.96364	0.97662	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-2_sample-3/p3_dimer_msa_seed-2_sample-3_model.cif
seed-2_sample-4	A	385	0.98182	1.1083	0.598	0.95325	0.96623	0.98701	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-2_sample-4/p3_dimer_msa_seed-2_sample-4_model.cif
seed-2_sample-4	B	385	0.98182	1.1242	0.6121	0.95325	0.96623	0.98701	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-2_sample-4/p3_dimer_msa_seed-2_sample-4_model.cif
seed-3_sample-0	A	385	0.98182	1.4458	0.5628	0.94286	0.96364	0.97143	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-3_sample-0/p3_dimer_msa_seed-3_sample-0_model.cif
seed-3_sample-0	B	385	0.98182	1.4445	0.5646	0.94286	0.96364	0.97143	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-3_sample-0/p3_dimer_msa_seed-3_sample-0_model.cif
seed-3_sample-1	A	385	0.98182	1.4308	0.6472	0.95065	0.96364	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-3_sample-1/p3_dimer_msa_seed-3_sample-1_model.cif
seed-3_sample-1	B	385	0.98182	1.4468	0.6649	0.95065	0.96364	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-3_sample-1/p3_dimer_msa_seed-3_sample-1_model.cif
seed-3_sample-2	A	385	0.98182	1.4835	0.6347	0.93766	0.96364	0.97403	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-3_sample-2/p3_dimer_msa_seed-3_sample-2_model.cif
seed-3_sample-2	B	385	0.98182	1.4883	0.6316	0.93506	0.96364	0.97403	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-3_sample-2/p3_dimer_msa_seed-3_sample-2_model.cif
seed-3_sample-3	A	385	0.98182	1.4638	0.5966	0.93766	0.96364	0.97403	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-3_sample-3/p3_dimer_msa_seed-3_sample-3_model.cif
seed-3_sample-3	B	385	0.98182	1.4684	0.5788	0.94286	0.96364	0.97143	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-3_sample-3/p3_dimer_msa_seed-3_sample-3_model.cif
seed-3_sample-4	A	385	0.98182	1.4666	0.5823	0.94805	0.96364	0.97403	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-3_sample-4/p3_dimer_msa_seed-3_sample-4_model.cif
seed-3_sample-4	B	385	0.98182	1.4658	0.5796	0.94286	0.96364	0.97403	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-3_sample-4/p3_dimer_msa_seed-3_sample-4_model.cif
seed-4_sample-0	A	385	0.98182	1.6491	0.6657	0.92208	0.93766	0.97143	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-4_sample-0/p3_dimer_msa_seed-4_sample-0_model.cif
seed-4_sample-0	B	385	0.98182	1.6567	0.6764	0.92208	0.94026	0.97143	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-4_sample-0/p3_dimer_msa_seed-4_sample-0_model.cif
seed-4_sample-1	A	385	0.98182	1.5651	0.6274	0.93247	0.96623	0.97662	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-4_sample-1/p3_dimer_msa_seed-4_sample-1_model.cif
seed-4_sample-1	B	385	0.98182	1.5567	0.6322	0.93766	0.96623	0.97662	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-4_sample-1/p3_dimer_msa_seed-4_sample-1_model.cif
seed-4_sample-2	A	385	0.98182	1.4368	0.6039	0.95584	0.95844	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-4_sample-2/p3_dimer_msa_seed-4_sample-2_model.cif
seed-4_sample-2	B	385	0.98182	1.4319	0.5978	0.95584	0.95844	0.97922	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-4_sample-2/p3_dimer_msa_seed-4_sample-2_model.cif
seed-4_sample-3	A	385	0.98182	1.5304	0.6378	0.94545	0.96623	0.97143	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-4_sample-3/p3_dimer_msa_seed-4_sample-3_model.cif
seed-4_sample-3	B	385	0.98182	1.5184	0.6249	0.94545	0.96364	0.97143	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-4_sample-3/p3_dimer_msa_seed-4_sample-3_model.cif
seed-4_sample-4	A	385	0.98182	1.6053	0.6254	0.93506	0.96104	0.97403	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-4_sample-4/p3_dimer_msa_seed-4_sample-4_model.cif
seed-4_sample-4	B	385	0.98182	1.6054	0.6194	0.94026	0.96104	0.97403	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-4_sample-4/p3_dimer_msa_seed-4_sample-4_model.cif
seed-5_sample-0	A	385	0.98182	1.6856	0.6273	0.91169	0.94026	0.96364	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-5_sample-0/p3_dimer_msa_seed-5_sample-0_model.cif
seed-5_sample-0	B	385	0.98182	1.6764	0.6218	0.91169	0.94286	0.96364	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-5_sample-0/p3_dimer_msa_seed-5_sample-0_model.cif
seed-5_sample-1	A	385	0.98182	1.7931	0.668	0.9039	0.93506	0.95844	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-5_sample-1/p3_dimer_msa_seed-5_sample-1_model.cif
seed-5_sample-1	B	385	0.98182	1.7701	0.6575	0.90649	0.93766	0.96364	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-5_sample-1/p3_dimer_msa_seed-5_sample-1_model.cif
seed-5_sample-2	A	385	0.98182	1.4512	0.5869	0.94026	0.96364	0.97143	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-5_sample-2/p3_dimer_msa_seed-5_sample-2_model.cif
seed-5_sample-2	B	385	0.98182	1.4504	0.572	0.94026	0.96364	0.96883	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-5_sample-2/p3_dimer_msa_seed-5_sample-2_model.cif
seed-5_sample-3	A	385	0.98182	1.1737	0.6556	0.92468	0.96104	0.98961	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-5_sample-3/p3_dimer_msa_seed-5_sample-3_model.cif
seed-5_sample-3	B	385	0.98182	1.1699	0.6468	0.92208	0.96104	0.98961	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-5_sample-3/p3_dimer_msa_seed-5_sample-3_model.cif
seed-5_sample-4	A	385	0.98182	1.458	0.6112	0.94286	0.96364	0.97662	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-5_sample-4/p3_dimer_msa_seed-5_sample-4_model.cif
seed-5_sample-4	B	385	0.98182	1.4663	0.6181	0.94286	0.96364	0.97662	experiments/e01d_dimer_msa/out_s1/p3_dimer_msa/seed-5_sample-4/p3_dimer_msa_seed-5_sample-4_model.cif
