candidate	source_system	seed	model	iptm	min_incident_iptm	contact_pair_pae_median	full_connected	has_clash	cif_path	summary_path
OVA-C4-IPTM80-20A	ova_body_c4_103	4	seed-4_sample-1	0.86	0.82	2.34	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-1/ova_body_c4_05_seed-4_sample-1_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-1/ova_body_c4_05_seed-4_sample-1_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	4	seed-4_sample-2	0.85	0.82	2.395	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-2/ova_body_c4_05_seed-4_sample-2_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-2/ova_body_c4_05_seed-4_sample-2_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	4	seed-4_sample-3	0.85	0.81	2.465	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-3/ova_body_c4_05_seed-4_sample-3_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-3/ova_body_c4_05_seed-4_sample-3_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	4	seed-4_sample-4	0.85	0.82	2.365	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-4/ova_body_c4_05_seed-4_sample-4_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-4_sample-4/ova_body_c4_05_seed-4_sample-4_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	5	seed-5_sample-0	0.85	0.81	2.4400000000000004	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-5_sample-0/ova_body_c4_05_seed-5_sample-0_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-5_sample-0/ova_body_c4_05_seed-5_sample-0_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	5	seed-5_sample-1	0.84	0.81	2.58	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-5_sample-1/ova_body_c4_05_seed-5_sample-1_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-5_sample-1/ova_body_c4_05_seed-5_sample-1_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	5	seed-5_sample-2	0.85	0.82	2.4050000000000002	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-5_sample-2/ova_body_c4_05_seed-5_sample-2_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-5_sample-2/ova_body_c4_05_seed-5_sample-2_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	5	seed-5_sample-3	0.85	0.82	2.4	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-5_sample-3/ova_body_c4_05_seed-5_sample-3_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-5_sample-3/ova_body_c4_05_seed-5_sample-3_summary_confidences.json
OVA-C4-IPTM80-20A	ova_body_c4_103	5	seed-5_sample-4	0.85	0.81	2.375	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-5_sample-4/ova_body_c4_05_seed-5_sample-4_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s4/ova_body_c4_05/seed-5_sample-4/ova_body_c4_05_seed-5_sample-4_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	1	seed-1_sample-0	0.83	0.79	2.545	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-0/ova_body_c4_23_seed-1_sample-0_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-0/ova_body_c4_23_seed-1_sample-0_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	1	seed-1_sample-1	0.83	0.8	2.4699999999999998	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-1/ova_body_c4_23_seed-1_sample-1_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-1/ova_body_c4_23_seed-1_sample-1_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	1	seed-1_sample-2	0.83	0.79	2.4450000000000003	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-2/ova_body_c4_23_seed-1_sample-2_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-2/ova_body_c4_23_seed-1_sample-2_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	1	seed-1_sample-3	0.84	0.8	2.49	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-3/ova_body_c4_23_seed-1_sample-3_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-3/ova_body_c4_23_seed-1_sample-3_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	1	seed-1_sample-4	0.83	0.79	2.525	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-4/ova_body_c4_23_seed-1_sample-4_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_23/seed-1_sample-4/ova_body_c4_23_seed-1_sample-4_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	2	seed-2_sample-0	0.85	0.81	2.295	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-2_sample-0/ova_body_c4_01_seed-2_sample-0_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-2_sample-0/ova_body_c4_01_seed-2_sample-0_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	2	seed-2_sample-1	0.85	0.82	2.23	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-2_sample-1/ova_body_c4_01_seed-2_sample-1_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-2_sample-1/ova_body_c4_01_seed-2_sample-1_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	2	seed-2_sample-2	0.84	0.81	2.375	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-2_sample-2/ova_body_c4_01_seed-2_sample-2_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-2_sample-2/ova_body_c4_01_seed-2_sample-2_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	2	seed-2_sample-3	0.83	0.8	2.4800000000000004	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-2_sample-3/ova_body_c4_01_seed-2_sample-3_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-2_sample-3/ova_body_c4_01_seed-2_sample-3_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	2	seed-2_sample-4	0.84	0.81	2.38	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-2_sample-4/ova_body_c4_01_seed-2_sample-4_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-2_sample-4/ova_body_c4_01_seed-2_sample-4_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	3	seed-3_sample-0	0.83	0.79	2.585	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-3_sample-0/ova_body_c4_01_seed-3_sample-0_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-3_sample-0/ova_body_c4_01_seed-3_sample-0_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	3	seed-3_sample-1	0.83	0.79	2.56	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-3_sample-1/ova_body_c4_01_seed-3_sample-1_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-3_sample-1/ova_body_c4_01_seed-3_sample-1_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	3	seed-3_sample-2	0.84	0.8	2.49	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-3_sample-2/ova_body_c4_01_seed-3_sample-2_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-3_sample-2/ova_body_c4_01_seed-3_sample-2_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	3	seed-3_sample-3	0.83	0.79	2.6100000000000003	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-3_sample-3/ova_body_c4_01_seed-3_sample-3_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-3_sample-3/ova_body_c4_01_seed-3_sample-3_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	3	seed-3_sample-4	0.83	0.79	2.575	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-3_sample-4/ova_body_c4_01_seed-3_sample-4_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-3_sample-4/ova_body_c4_01_seed-3_sample-4_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	4	seed-4_sample-0	0.81	0.78	2.7	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-4_sample-0/ova_body_c4_01_seed-4_sample-0_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-4_sample-0/ova_body_c4_01_seed-4_sample-0_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	4	seed-4_sample-1	0.83	0.8	2.625	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-4_sample-1/ova_body_c4_01_seed-4_sample-1_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-4_sample-1/ova_body_c4_01_seed-4_sample-1_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	4	seed-4_sample-2	0.82	0.78	2.67	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-4_sample-2/ova_body_c4_01_seed-4_sample-2_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-4_sample-2/ova_body_c4_01_seed-4_sample-2_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	4	seed-4_sample-3	0.84	0.81	2.375	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-4_sample-3/ova_body_c4_01_seed-4_sample-3_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-4_sample-3/ova_body_c4_01_seed-4_sample-3_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	4	seed-4_sample-4	0.84	0.81	2.5199999999999996	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-4_sample-4/ova_body_c4_01_seed-4_sample-4_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-4_sample-4/ova_body_c4_01_seed-4_sample-4_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	5	seed-5_sample-0	0.85	0.82	2.1950000000000003	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-0/ova_body_c4_01_seed-5_sample-0_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-0/ova_body_c4_01_seed-5_sample-0_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	5	seed-5_sample-1	0.85	0.81	2.3099999999999996	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-1/ova_body_c4_01_seed-5_sample-1_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-1/ova_body_c4_01_seed-5_sample-1_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	5	seed-5_sample-2	0.84	0.81	2.365	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-2/ova_body_c4_01_seed-5_sample-2_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-2/ova_body_c4_01_seed-5_sample-2_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	5	seed-5_sample-3	0.85	0.82	2.23	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-3/ova_body_c4_01_seed-5_sample-3_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-3/ova_body_c4_01_seed-5_sample-3_summary_confidences.json
OVA-C4-IPTM80-21B	ova_body_c4_23	5	seed-5_sample-4	0.85	0.81	2.275	1	0.0	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-4/ova_body_c4_01_seed-5_sample-4_model.cif	experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-4/ova_body_c4_01_seed-5_sample-4_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	1	seed-1_sample-0	0.84	0.81	2.5149999999999997	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-0/ova_body_c4_02_seed-1_sample-0_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	1	seed-1_sample-1	0.84	0.81	2.44	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-1/ova_body_c4_02_seed-1_sample-1_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	1	seed-1_sample-2	0.84	0.81	2.47	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-2/ova_body_c4_02_seed-1_sample-2_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	1	seed-1_sample-3	0.85	0.81	2.465	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-3/ova_body_c4_02_seed-1_sample-3_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	1	seed-1_sample-4	0.85	0.81	2.365	1	0.0	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_model.cif	experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_02/seed-1_sample-4/ova_body_c4_02_seed-1_sample-4_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	2	seed-2_sample-0	0.84	0.8	2.375	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-2_sample-0/ova_body_c4_06_seed-2_sample-0_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-2_sample-0/ova_body_c4_06_seed-2_sample-0_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	2	seed-2_sample-1	0.84	0.8	2.375	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-2_sample-1/ova_body_c4_06_seed-2_sample-1_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-2_sample-1/ova_body_c4_06_seed-2_sample-1_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	2	seed-2_sample-2	0.83	0.79	2.53	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-2_sample-2/ova_body_c4_06_seed-2_sample-2_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-2_sample-2/ova_body_c4_06_seed-2_sample-2_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	2	seed-2_sample-3	0.82	0.78	2.715	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-2_sample-3/ova_body_c4_06_seed-2_sample-3_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-2_sample-3/ova_body_c4_06_seed-2_sample-3_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	2	seed-2_sample-4	0.82	0.78	2.5949999999999998	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-2_sample-4/ova_body_c4_06_seed-2_sample-4_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-2_sample-4/ova_body_c4_06_seed-2_sample-4_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	3	seed-3_sample-0	0.83	0.79	2.5599999999999996	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-3_sample-0/ova_body_c4_06_seed-3_sample-0_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-3_sample-0/ova_body_c4_06_seed-3_sample-0_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	3	seed-3_sample-1	0.83	0.79	2.56	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-3_sample-1/ova_body_c4_06_seed-3_sample-1_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-3_sample-1/ova_body_c4_06_seed-3_sample-1_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	3	seed-3_sample-2	0.84	0.8	2.4850000000000003	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-3_sample-2/ova_body_c4_06_seed-3_sample-2_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-3_sample-2/ova_body_c4_06_seed-3_sample-2_summary_confidences.json
OVA-C4-IPTM80-20C	ova_body_c4_02	3	seed-3_sample-3	0.83	0.8	2.5549999999999997	1	0.0	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-3_sample-3/ova_body_c4_06_seed-3_sample-3_model.cif	experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s5/ova_body_c4_06/seed-3_sample-3/ova_body_c4_06_seed-3_sample-3_summary_confidences.json
