system	kind	n_chains	n_models	expected_models	complete	median_iptm	max_iptm	median_ptm	median_min_ova_plddt	median_min_module_plddt	median_min_binder_plddt	median_min_incident_iptm	median_contact_pair_iptm	median_contact_pair_pae	median_total_contacts	median_ova_contacts	median_module_contacts	full_connected_fraction	module_connected_fraction	unclashed_fraction	median_interface_jaccard	best_model	best_iptm	best_min_incident_iptm	best_cif
ova_body_c4_11	ova_body_c4_candidate	4	5	5	1	0.79	0.8	0.83	89.48	nan	nan	0.75	0.75	3.175	213.0	213.0	0.0	1.0	0.0	1.0	0.9318	seed-1_sample-4	0.8	0.76	experiments/e117_c4_iptm80_af2traj_af3/out_s2/ova_body_c4_11/seed-1_sample-4/ova_body_c4_11_seed-1_sample-4_model.cif
ova_body_c4_12	ova_body_c4_candidate	4	5	5	1	0.37	0.38	0.51	86.17	nan	nan	0.42	0.24	19.055	374.0	374.0	0.0	1.0	0.0	1.0	0.7545	seed-1_sample-1	0.38	0.44	experiments/e117_c4_iptm80_af2traj_af3/out_s3/ova_body_c4_12/seed-1_sample-1/ova_body_c4_12_seed-1_sample-1_model.cif
ova_body_c4_13	ova_body_c4_candidate	4	5	5	1	0.35	0.37	0.5	85.74	nan	nan	0.38	0.23	18.01	374.0	374.0	0.0	1.0	0.0	1.0	0.7648	seed-1_sample-0	0.37	0.42	experiments/e117_c4_iptm80_af2traj_af3/out_s4/ova_body_c4_13/seed-1_sample-0/ova_body_c4_13_seed-1_sample-0_model.cif
ova_body_c4_14	ova_body_c4_candidate	4	5	5	1	0.36	0.36	0.51	86.22	nan	nan	0.42	0.325	16.615	370.0	370.0	0.0	1.0	0.0	1.0	0.872	seed-1_sample-3	0.36	0.43	experiments/e117_c4_iptm80_af2traj_af3/out_s5/ova_body_c4_14/seed-1_sample-3/ova_body_c4_14_seed-1_sample-3_model.cif
ova_body_c4_15	ova_body_c4_candidate	4	5	5	1	0.74	0.75	0.79	89.14	nan	nan	0.71	0.7	4.2	243.0	243.0	0.0	1.0	0.0	1.0	0.8987	seed-1_sample-4	0.75	0.72	experiments/e117_c4_iptm80_af2traj_af3/out_s6/ova_body_c4_15/seed-1_sample-4/ova_body_c4_15_seed-1_sample-4_model.cif
ova_body_c4_16	ova_body_c4_candidate	4	5	5	1	0.23	0.25	0.4	83.42	nan	nan	0.18	0.16	23.035	446.0	446.0	0.0	1.0	0.0	1.0	0.5722	seed-1_sample-3	0.25	0.2	experiments/e117_c4_iptm80_af2traj_af3/out_s7/ova_body_c4_16/seed-1_sample-3/ova_body_c4_16_seed-1_sample-3_model.cif
ova_body_c4_17	ova_body_c4_candidate	4	5	5	1	0.21	0.23	0.4	83.91	nan	nan	0.16	0.15	22.3	389.0	389.0	0.0	1.0	0.0	1.0	0.4365	seed-1_sample-3	0.23	0.17	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_17/seed-1_sample-3/ova_body_c4_17_seed-1_sample-3_model.cif
ova_body_c4_18	ova_body_c4_candidate	4	5	5	1	0.24	0.24	0.41	84.76	nan	nan	0.2	0.16	22.69	405.0	405.0	0.0	1.0	0.0	1.0	0.7894	seed-1_sample-2	0.24	0.21	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_18/seed-1_sample-2/ova_body_c4_18_seed-1_sample-2_model.cif
ova_body_c4_19	ova_body_c4_candidate	4	5	5	1	0.42	0.44	0.55	85.46	nan	nan	0.38	0.36	15.435	420.0	420.0	0.0	1.0	0.0	1.0	0.7607	seed-1_sample-4	0.44	0.41	experiments/e117_c4_iptm80_af2traj_af3/out_s2/ova_body_c4_19/seed-1_sample-4/ova_body_c4_19_seed-1_sample-4_model.cif
ova_body_c4_20	ova_body_c4_candidate	4	5	5	1	0.81	0.84	0.85	89.63	nan	nan	0.78	0.77	2.83	207.0	207.0	0.0	1.0	0.0	1.0	0.8864	seed-1_sample-4	0.84	0.8	experiments/e117_c4_iptm80_af2traj_af3/out_s3/ova_body_c4_20/seed-1_sample-4/ova_body_c4_20_seed-1_sample-4_model.cif
ova_body_c4_21	ova_body_c4_candidate	4	5	5	1	0.32	0.37	0.47	86.25	nan	nan	0.34	0.2	20.54	233.0	233.0	0.0	1.0	0.0	1.0	0.6281	seed-1_sample-2	0.37	0.4	experiments/e117_c4_iptm80_af2traj_af3/out_s4/ova_body_c4_21/seed-1_sample-2/ova_body_c4_21_seed-1_sample-2_model.cif
ova_body_c4_22	ova_body_c4_candidate	4	5	5	1	0.65	0.67	0.72	88.51	nan	nan	0.68	0.565	7.375	234.0	234.0	0.0	1.0	0.0	1.0	0.8964	seed-1_sample-2	0.67	0.69	experiments/e117_c4_iptm80_af2traj_af3/out_s5/ova_body_c4_22/seed-1_sample-2/ova_body_c4_22_seed-1_sample-2_model.cif
ova_body_c4_23	ova_body_c4_candidate	4	5	5	1	0.31	0.37	0.47	85.77	nan	nan	0.42	0.26	18.37	331.0	331.0	0.0	1.0	0.0	1.0	0.6591	seed-1_sample-4	0.37	0.44	experiments/e117_c4_iptm80_af2traj_af3/out_s6/ova_body_c4_23/seed-1_sample-4/ova_body_c4_23_seed-1_sample-4_model.cif
ova_body_c4_24	ova_body_c4_candidate	4	5	5	1	0.76	0.81	0.8	89.15	nan	nan	0.72	0.71	4.17	234.0	234.0	0.0	1.0	0.0	1.0	0.8536	seed-1_sample-2	0.81	0.77	experiments/e117_c4_iptm80_af2traj_af3/out_s7/ova_body_c4_24/seed-1_sample-2/ova_body_c4_24_seed-1_sample-2_model.cif
ova_body_c4_25	ova_body_c4_candidate	4	5	5	1	0.34	0.34	0.49	85.78	nan	nan	0.41	0.305	16.57	349.0	349.0	0.0	1.0	0.0	1.0	0.8333	seed-1_sample-3	0.34	0.42	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_25/seed-1_sample-3/ova_body_c4_25_seed-1_sample-3_model.cif
ova_body_c4_26	ova_body_c4_candidate	4	5	5	1	0.79	0.83	0.83	89.77	nan	nan	0.75	0.745	3.215	218.0	218.0	0.0	1.0	0.0	1.0	0.9121	seed-1_sample-4	0.83	0.79	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_26/seed-1_sample-4/ova_body_c4_26_seed-1_sample-4_model.cif
ova_body_c4_27	ova_body_c4_candidate	4	5	5	1	0.81	0.83	0.84	90.1	nan	nan	0.77	0.76	3.2	207.0	207.0	0.0	1.0	0.0	1.0	0.9419	seed-1_sample-4	0.83	0.79	experiments/e117_c4_iptm80_af2traj_af3/out_s2/ova_body_c4_27/seed-1_sample-4/ova_body_c4_27_seed-1_sample-4_model.cif
ova_body_c4_28	ova_body_c4_candidate	4	5	5	1	0.73	0.75	0.79	89.39	nan	nan	0.71	0.69	3.885	237.0	237.0	0.0	1.0	0.0	1.0	0.8708	seed-1_sample-0	0.75	0.72	experiments/e117_c4_iptm80_af2traj_af3/out_s3/ova_body_c4_28/seed-1_sample-0/ova_body_c4_28_seed-1_sample-0_model.cif
ova_body_c4_29	ova_body_c4_candidate	4	5	5	1	0.4	0.41	0.54	87.58	nan	nan	0.57	0.395	13.46	386.0	386.0	0.0	1.0	0.0	1.0	0.9113	seed-1_sample-2	0.41	0.58	experiments/e117_c4_iptm80_af2traj_af3/out_s4/ova_body_c4_29/seed-1_sample-2/ova_body_c4_29_seed-1_sample-2_model.cif
ova_body_c4_30	ova_body_c4_candidate	4	5	5	1	0.77	0.78	0.81	89.29	nan	nan	0.73	0.72	4.025	213.0	213.0	0.0	1.0	0.0	1.0	0.8752	seed-1_sample-4	0.78	0.74	experiments/e117_c4_iptm80_af2traj_af3/out_s5/ova_body_c4_30/seed-1_sample-4/ova_body_c4_30_seed-1_sample-4_model.cif
ova_body_c4_31	ova_body_c4_candidate	4	5	5	1	0.36	0.39	0.51	86.31	nan	nan	0.47	0.245	18.775	358.0	358.0	0.0	1.0	0.0	1.0	0.6244	seed-1_sample-2	0.39	0.48	experiments/e117_c4_iptm80_af2traj_af3/out_s6/ova_body_c4_31/seed-1_sample-2/ova_body_c4_31_seed-1_sample-2_model.cif
ova_body_c4_32	ova_body_c4_candidate	4	5	5	1	0.45	0.45	0.57	85.49	nan	nan	0.4	0.375	14.02	405.0	405.0	0.0	1.0	0.0	1.0	0.7367	seed-1_sample-1	0.45	0.41	experiments/e117_c4_iptm80_af2traj_af3/out_s7/ova_body_c4_32/seed-1_sample-1/ova_body_c4_32_seed-1_sample-1_model.cif
ova_body_c4_33	ova_body_c4_candidate	4	5	5	1	0.73	0.75	0.78	89.02	nan	nan	0.69	0.675	4.435	196.0	196.0	0.0	1.0	0.0	1.0	0.849	seed-1_sample-4	0.75	0.71	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_33/seed-1_sample-4/ova_body_c4_33_seed-1_sample-4_model.cif
ova_body_c4_34	ova_body_c4_candidate	4	5	5	1	0.24	0.25	0.4	85.62	nan	nan	0.29	0.13	23.295	228.0	228.0	0.0	1.0	0.0	1.0	0.7029	seed-1_sample-4	0.25	0.29	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_34/seed-1_sample-4/ova_body_c4_34_seed-1_sample-4_model.cif
ova_body_c4_35	ova_body_c4_candidate	4	5	5	1	0.23	0.28	0.41	84.63	nan	nan	0.18	0.16	22.065	249.0	249.0	0.0	1.0	0.0	1.0	0.4157	seed-1_sample-3	0.28	0.27	experiments/e117_c4_iptm80_af2traj_af3/out_s2/ova_body_c4_35/seed-1_sample-3/ova_body_c4_35_seed-1_sample-3_model.cif
ova_body_c4_36	ova_body_c4_candidate	4	5	5	1	0.27	0.28	0.44	85.8	nan	nan	0.35	0.245	20.01	319.0	319.0	0.0	1.0	0.0	1.0	0.821	seed-1_sample-4	0.28	0.35	experiments/e117_c4_iptm80_af2traj_af3/out_s3/ova_body_c4_36/seed-1_sample-4/ova_body_c4_36_seed-1_sample-4_model.cif
ova_body_c4_37	ova_body_c4_candidate	4	5	5	1	0.46	0.47	0.58	85.83	nan	nan	0.45	0.38	13.62	368.0	368.0	0.0	1.0	0.0	1.0	0.7282	seed-1_sample-0	0.47	0.46	experiments/e117_c4_iptm80_af2traj_af3/out_s4/ova_body_c4_37/seed-1_sample-0/ova_body_c4_37_seed-1_sample-0_model.cif
ova_body_c4_38	ova_body_c4_candidate	4	5	5	1	0.82	0.82	0.85	89.8	nan	nan	0.78	0.77	2.72	194.0	194.0	0.0	1.0	0.0	1.0	0.9101	seed-1_sample-1	0.82	0.79	experiments/e117_c4_iptm80_af2traj_af3/out_s5/ova_body_c4_38/seed-1_sample-1/ova_body_c4_38_seed-1_sample-1_model.cif
ova_body_c4_39	ova_body_c4_candidate	4	5	5	1	0.2	0.26	0.39	84.72	nan	nan	0.16	0.14	21.9	329.0	329.0	0.0	1.0	0.0	1.0	0.5047	seed-1_sample-0	0.26	0.24	experiments/e117_c4_iptm80_af2traj_af3/out_s6/ova_body_c4_39/seed-1_sample-0/ova_body_c4_39_seed-1_sample-0_model.cif
ova_body_c4_40	ova_body_c4_candidate	4	5	5	1	0.31	0.36	0.47	85.88	nan	nan	0.36	0.19	22.165	341.0	341.0	0.0	1.0	0.0	1.0	0.7984	seed-1_sample-0	0.36	0.41	experiments/e117_c4_iptm80_af2traj_af3/out_s7/ova_body_c4_40/seed-1_sample-0/ova_body_c4_40_seed-1_sample-0_model.cif
ova_body_c4_41	ova_body_c4_candidate	4	5	5	1	0.68	0.68	0.74	88.57	nan	nan	0.65	0.62	6.29	239.0	239.0	0.0	1.0	0.0	1.0	0.848	seed-1_sample-2	0.68	0.66	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_41/seed-1_sample-2/ova_body_c4_41_seed-1_sample-2_model.cif
ova_body_c4_42	ova_body_c4_candidate	4	5	5	1	0.77	0.79	0.82	89.72	nan	nan	0.75	0.72	3.645	252.0	252.0	0.0	1.0	0.0	1.0	0.9215	seed-1_sample-4	0.79	0.77	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_42/seed-1_sample-4/ova_body_c4_42_seed-1_sample-4_model.cif
ova_body_c4_43	ova_body_c4_candidate	4	5	5	1	0.38	0.43	0.52	85.52	nan	nan	0.38	0.29	15.825	239.0	239.0	0.0	1.0	0.0	1.0	0.729	seed-1_sample-2	0.43	0.45	experiments/e117_c4_iptm80_af2traj_af3/out_s2/ova_body_c4_43/seed-1_sample-2/ova_body_c4_43_seed-1_sample-2_model.cif
ova_body_c4_44	ova_body_c4_candidate	4	5	5	1	0.28	0.29	0.44	86.02	nan	nan	0.36	0.24	19.99	316.0	316.0	0.0	1.0	0.0	1.0	0.6525	seed-1_sample-4	0.29	0.36	experiments/e117_c4_iptm80_af2traj_af3/out_s3/ova_body_c4_44/seed-1_sample-4/ova_body_c4_44_seed-1_sample-4_model.cif
ova_body_c4_45	ova_body_c4_candidate	4	5	5	1	0.37	0.37	0.51	85.83	nan	nan	0.45	0.34	15.505	332.0	332.0	0.0	1.0	0.0	1.0	0.747	seed-1_sample-1	0.37	0.46	experiments/e117_c4_iptm80_af2traj_af3/out_s4/ova_body_c4_45/seed-1_sample-1/ova_body_c4_45_seed-1_sample-1_model.cif
ova_body_c4_46	ova_body_c4_candidate	4	5	5	1	0.32	0.32	0.47	85.89	nan	nan	0.34	0.205	20.015	355.0	355.0	0.0	1.0	0.0	1.0	0.7329	seed-1_sample-2	0.32	0.35	experiments/e117_c4_iptm80_af2traj_af3/out_s5/ova_body_c4_46/seed-1_sample-2/ova_body_c4_46_seed-1_sample-2_model.cif
ova_body_c4_47	ova_body_c4_candidate	4	5	5	1	0.8	0.81	0.84	89.69	nan	nan	0.76	0.75	3.305	204.0	204.0	0.0	1.0	0.0	1.0	0.9512	seed-1_sample-4	0.81	0.77	experiments/e117_c4_iptm80_af2traj_af3/out_s6/ova_body_c4_47/seed-1_sample-4/ova_body_c4_47_seed-1_sample-4_model.cif
ova_body_c4_48	ova_body_c4_candidate	4	5	5	1	0.81	0.83	0.84	90.21	nan	nan	0.77	0.76	3.19	208.0	208.0	0.0	1.0	0.0	1.0	0.8652	seed-1_sample-4	0.83	0.79	experiments/e117_c4_iptm80_af2traj_af3/out_s7/ova_body_c4_48/seed-1_sample-4/ova_body_c4_48_seed-1_sample-4_model.cif
ova_body_c4_49	ova_body_c4_candidate	4	5	5	1	0.41	0.44	0.54	85.47	nan	nan	0.46	0.295	14.105	392.0	392.0	0.0	1.0	0.0	1.0	0.7195	seed-1_sample-1	0.44	0.47	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_49/seed-1_sample-1/ova_body_c4_49_seed-1_sample-1_model.cif
ova_body_c4_50	ova_body_c4_candidate	4	5	5	1	0.31	0.32	0.47	85.74	nan	nan	0.34	0.2	20.32	352.0	352.0	0.0	1.0	0.0	1.0	0.7261	seed-1_sample-3	0.32	0.34	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_50/seed-1_sample-3/ova_body_c4_50_seed-1_sample-3_model.cif
ova_body_c4_51	ova_body_c4_candidate	4	5	5	1	0.82	0.83	0.85	89.98	nan	nan	0.8	0.77	2.775	205.0	205.0	0.0	1.0	0.0	1.0	0.8925	seed-1_sample-4	0.83	0.8	experiments/e117_c4_iptm80_af2traj_af3/out_s2/ova_body_c4_51/seed-1_sample-4/ova_body_c4_51_seed-1_sample-4_model.cif
ova_body_c4_52	ova_body_c4_candidate	4	5	5	1	0.39	0.41	0.53	87.47	nan	nan	0.49	0.23	13.095	315.0	315.0	0.0	1.0	0.0	1.0	0.8384	seed-1_sample-4	0.41	0.52	experiments/e117_c4_iptm80_af2traj_af3/out_s3/ova_body_c4_52/seed-1_sample-4/ova_body_c4_52_seed-1_sample-4_model.cif
ova_body_c4_53	ova_body_c4_candidate	4	5	5	1	0.32	0.33	0.48	85.65	nan	nan	0.39	0.285	17.73	333.0	333.0	0.0	1.0	0.0	1.0	0.8024	seed-1_sample-4	0.33	0.4	experiments/e117_c4_iptm80_af2traj_af3/out_s4/ova_body_c4_53/seed-1_sample-4/ova_body_c4_53_seed-1_sample-4_model.cif
ova_body_c4_54	ova_body_c4_candidate	4	5	5	1	0.84	0.84	0.87	90.33	nan	nan	0.81	0.8	2.465	189.0	189.0	0.0	1.0	0.0	1.0	0.9393	seed-1_sample-2	0.84	0.81	experiments/e117_c4_iptm80_af2traj_af3/out_s5/ova_body_c4_54/seed-1_sample-2/ova_body_c4_54_seed-1_sample-2_model.cif
ova_body_c4_55	ova_body_c4_candidate	4	5	5	1	0.77	0.78	0.81	89.22	nan	nan	0.74	0.72	3.85	187.0	187.0	0.0	1.0	0.0	1.0	0.8113	seed-1_sample-3	0.78	0.74	experiments/e117_c4_iptm80_af2traj_af3/out_s6/ova_body_c4_55/seed-1_sample-3/ova_body_c4_55_seed-1_sample-3_model.cif
ova_body_c4_56	ova_body_c4_candidate	4	5	5	1	0.8	0.81	0.84	89.45	nan	nan	0.76	0.76	2.985	200.0	200.0	0.0	1.0	0.0	1.0	0.909	seed-1_sample-4	0.81	0.77	experiments/e117_c4_iptm80_af2traj_af3/out_s7/ova_body_c4_56/seed-1_sample-4/ova_body_c4_56_seed-1_sample-4_model.cif
ova_body_c4_57	ova_body_c4_candidate	4	5	5	1	0.8	0.81	0.84	89.71	nan	nan	0.76	0.75	3.265	208.0	208.0	0.0	1.0	0.0	1.0	0.9756	seed-1_sample-4	0.81	0.77	experiments/e117_c4_iptm80_af2traj_af3/out_s0/ova_body_c4_57/seed-1_sample-4/ova_body_c4_57_seed-1_sample-4_model.cif
ova_body_c4_58	ova_body_c4_candidate	4	5	5	1	0.83	0.83	0.86	90.1	nan	nan	0.79	0.79	2.6	197.0	197.0	0.0	1.0	0.0	1.0	0.9318	seed-1_sample-2	0.83	0.79	experiments/e117_c4_iptm80_af2traj_af3/out_s1/ova_body_c4_58/seed-1_sample-2/ova_body_c4_58_seed-1_sample-2_model.cif
ova_body_c4_59	ova_body_c4_candidate	4	5	5	1	0.36	0.37	0.51	85.85	nan	nan	0.43	0.225	18.63	326.0	326.0	0.0	1.0	0.0	1.0	0.5886	seed-1_sample-1	0.37	0.44	experiments/e117_c4_iptm80_af2traj_af3/out_s2/ova_body_c4_59/seed-1_sample-1/ova_body_c4_59_seed-1_sample-1_model.cif
ova_body_c4_60	ova_body_c4_candidate	4	5	5	1	0.31	0.34	0.47	85.34	nan	nan	0.39	0.29	17.29	335.0	335.0	0.0	1.0	0.0	1.0	0.8209	seed-1_sample-4	0.34	0.42	experiments/e117_c4_iptm80_af2traj_af3/out_s3/ova_body_c4_60/seed-1_sample-4/ova_body_c4_60_seed-1_sample-4_model.cif
ova_body_c4_61	ova_body_c4_candidate	4	5	5	1	0.8	0.82	0.84	89.71	nan	nan	0.77	0.76	3.015	202.0	202.0	0.0	1.0	0.0	1.0	0.9286	seed-1_sample-4	0.82	0.78	experiments/e117_c4_iptm80_af2traj_af3/out_s4/ova_body_c4_61/seed-1_sample-4/ova_body_c4_61_seed-1_sample-4_model.cif
ova_body_c4_62	ova_body_c4_candidate	4	5	5	1	0.81	0.82	0.85	89.66	nan	nan	0.77	0.77	2.89	198.0	198.0	0.0	1.0	0.0	1.0	0.9169	seed-1_sample-4	0.82	0.78	experiments/e117_c4_iptm80_af2traj_af3/out_s5/ova_body_c4_62/seed-1_sample-4/ova_body_c4_62_seed-1_sample-4_model.cif
