candidate	source_model	iptm	effective_edges	cif_path
OVA-C4-IPTM80-21B	AF3	0.85	A-C,A-D,B-C,B-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e126_c4_iptm80_continue_af3_seed1/out_s6/ova_body_c4_47/seed-1_sample-2/ova_body_c4_47_seed-1_sample-2_model.cif
OVA-C4-IPTM80-21C	AF3	0.85	A-C,A-D,B-C,B-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s0/ova_body_c4_01/seed-5_sample-0/ova_body_c4_01_seed-5_sample-0_model.cif
OVA-C4-IPTM80-21E	AF3	0.84	A-C,A-D,B-C,B-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e135_c4_iptm80_multiseed_batch04/af3/out_s1/ova_body_c4_02/seed-2_sample-3/ova_body_c4_02_seed-2_sample-3_model.cif
OVA-C4-IPTM80-21G	AF3	0.84	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e133_c4_iptm80_multiseed_batch02/af3/out_s4/ova_body_c4_05/seed-4_sample-2/ova_body_c4_05_seed-4_sample-2_model.cif
OVA-C4-IPTM80-21H	AF3	0.84	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e132_c4_iptm80_multiseed_batch01/af3/out_s6/ova_body_c4_07/seed-3_sample-1/ova_body_c4_07_seed-3_sample-1_model.cif
OVA-C4-IPTM80-21I	AF3	0.84	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e126_c4_iptm80_continue_af3_seed1/out_s0/ova_body_c4_01/seed-1_sample-4/ova_body_c4_01_seed-1_sample-4_model.cif
OVA-C4-IPTM80-21M	AF3	0.83	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e126_c4_iptm80_continue_af3_seed1/out_s1/ova_body_c4_106/seed-1_sample-4/ova_body_c4_106_seed-1_sample-4_model.cif
OVA-C4-IPTM80-21P	AF3	0.83	A-B,A-C,A-D,B-C,B-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e135_c4_iptm80_multiseed_batch04/af3/out_s4/ova_body_c4_05/seed-3_sample-4/ova_body_c4_05_seed-3_sample-4_model.cif
OVA-C4-IPTM80-21S	AF3	0.83	A-C,A-D,B-C,B-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e134_c4_iptm80_multiseed_batch03/af3/out_s3/ova_body_c4_04/seed-5_sample-3/ova_body_c4_04_seed-5_sample-3_model.cif
OVA-C4-IPTM80-22Q	AF3	0.83	A-B,A-C,A-D,B-C,B-D,C-D	/vepfs-mlp2/c20250508/400083/ova_p3_tetramer_design/experiments/e134_c4_iptm80_multiseed_batch03/af3/out_s7/ova_body_c4_08/seed-2_sample-1/ova_body_c4_08_seed-2_sample-1_model.cif
