candidate	source_model	nrelax	production_ensemble_complete	topology_retained_fraction	zero_clash_fraction	zero_overlap_fraction	median_weakest_sc	median_weakest_hbonds	median_worst_dG_dSASA_x100	median_worst_unsat_per_1000A2	max_chain_ca_rmsd_to_input	gate_rosetta_ensemble_100	gate_rosetta_topology_ge0p90	gate_rosetta_zero_clash_fraction_ge0p90	gate_rosetta_zero_overlap_fraction_ge0p90	gate_rosetta_weakest_sc_ge0p60	gate_rosetta_weakest_hbonds_ge3	gate_rosetta_dG_dSASA_le_minus1	gate_rosetta_unsat_per_1000A2_le2	gate_rosetta_chain_rmsd_le2	rosetta_pass	failed_rosetta_gates
OVA-C4-IPTM80-21B	AF3	1	0	1	1	1	0.6060183048248291	0.0	-2.3369741439819336	8.081773698744534	0.2407537108234241	0	1	1	1	1	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-21C	AF3	1	0	1	1	1	0.630867600440979	1.0	-1.7058531045913696	7.530487432298666	0.3162053902654931	0	1	1	1	1	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-21E	AF3	1	0	1	1	1	0.6010665893554688	3.0	-1.9195784330368042	3.131724251985445	0.3877577305598788	0	1	1	1	1	1	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-21G	AF3	1	0	1	1	1	0.43043333292007446	1.0	-1.0297274589538574	7.9048893870772	0.29388144397143645	0	1	1	1	0	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_sc_ge0p60;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-21H	AF3	1	0	1	1	1	0.6462159752845764	2.0	-0.6790217161178589	13.55303675437016	0.2852705170229995	0	1	1	1	1	0	0	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_dG_dSASA_le_minus1;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-21I	AF3	1	0	1	0	1	0.6885036826133728	1.0	-1.6975618600845337	7.7262773834497604	0.2877146587648507	0	1	0	1	1	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_zero_clash_fraction_ge0p90;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-21M	AF3	1	0	1	0	1	0.6704028248786926	2.0	-2.382578134536743	10.640461596035621	0.3287104891362204	0	1	0	1	1	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_zero_clash_fraction_ge0p90;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-21P	AF3	1	0	1	1	1	0.5452542304992676	2.0	-2.1524436473846436	9.041339959741462	0.4153655295850777	0	1	1	1	0	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_sc_ge0p60;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-21S	AF3	1	0	1	1	1	0.5860966444015503	1.0	-1.8551098108291626	8.03988536882189	0.31728539841288333	0	1	1	1	0	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_weakest_sc_ge0p60;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
OVA-C4-IPTM80-22Q	AF3	1	0	1	0	1	0.6136192679405212	1.0	-1.7622783184051514	7.116888022560674	0.34313096546782695	0	1	0	1	1	0	1	0	1	0	gate_rosetta_ensemble_100;gate_rosetta_zero_clash_fraction_ge0p90;gate_rosetta_weakest_hbonds_ge3;gate_rosetta_unsat_per_1000A2_le2
