shard	candidate	seed	input_json
5	OVA-C4-IPTM80-19J	21	input/ova_iptm80_ova_c4_iptm80_19j_protenix.json
6	OVA-C4-IPTM80-19K	21	input/ova_iptm80_ova_c4_iptm80_19k_protenix.json
7	OVA-C4-IPTM80-19L	21	input/ova_iptm80_ova_c4_iptm80_19l_protenix.json
0	OVA-C4-IPTM80-19R	21	input/ova_iptm80_ova_c4_iptm80_19r_protenix.json
1	OVA-C4-IPTM80-20A	21	input/ova_iptm80_ova_c4_iptm80_20a_protenix.json
2	OVA-C4-IPTM80-20D	21	input/ova_iptm80_ova_c4_iptm80_20d_protenix.json
3	OVA-C4-IPTM80-20N	21	input/ova_iptm80_ova_c4_iptm80_20n_protenix.json
4	OVA-C4-IPTM80-20O	21	input/ova_iptm80_ova_c4_iptm80_20o_protenix.json
5	OVA-C4-IPTM80-20T	21	input/ova_iptm80_ova_c4_iptm80_20t_protenix.json
6	OVA-C4-IPTM80-21B	21	input/ova_iptm80_ova_c4_iptm80_21b_protenix.json
7	OVA-C4-IPTM80-21C	21	input/ova_iptm80_ova_c4_iptm80_21c_protenix.json
0	OVA-C4-IPTM80-21E	21	input/ova_iptm80_ova_c4_iptm80_21e_protenix.json
1	OVA-C4-IPTM80-21G	21	input/ova_iptm80_ova_c4_iptm80_21g_protenix.json
2	OVA-C4-IPTM80-21H	21	input/ova_iptm80_ova_c4_iptm80_21h_protenix.json
3	OVA-C4-IPTM80-21I	21	input/ova_iptm80_ova_c4_iptm80_21i_protenix.json
4	OVA-C4-IPTM80-21M	21	input/ova_iptm80_ova_c4_iptm80_21m_protenix.json
5	OVA-C4-IPTM80-21P	21	input/ova_iptm80_ova_c4_iptm80_21p_protenix.json
6	OVA-C4-IPTM80-21S	21	input/ova_iptm80_ova_c4_iptm80_21s_protenix.json
7	OVA-C4-IPTM80-22Q	21	input/ova_iptm80_ova_c4_iptm80_22q_protenix.json
0	OVA-C4-IPTM80-19F	41	input/ova_iptm80_ova_c4_iptm80_19f_protenix.json
1	OVA-C4-IPTM80-19J	41	input/ova_iptm80_ova_c4_iptm80_19j_protenix.json
2	OVA-C4-IPTM80-19K	41	input/ova_iptm80_ova_c4_iptm80_19k_protenix.json
3	OVA-C4-IPTM80-19L	41	input/ova_iptm80_ova_c4_iptm80_19l_protenix.json
4	OVA-C4-IPTM80-19R	41	input/ova_iptm80_ova_c4_iptm80_19r_protenix.json
5	OVA-C4-IPTM80-20A	41	input/ova_iptm80_ova_c4_iptm80_20a_protenix.json
6	OVA-C4-IPTM80-20D	41	input/ova_iptm80_ova_c4_iptm80_20d_protenix.json
7	OVA-C4-IPTM80-20N	41	input/ova_iptm80_ova_c4_iptm80_20n_protenix.json
0	OVA-C4-IPTM80-20O	41	input/ova_iptm80_ova_c4_iptm80_20o_protenix.json
1	OVA-C4-IPTM80-20T	41	input/ova_iptm80_ova_c4_iptm80_20t_protenix.json
2	OVA-C4-IPTM80-21B	41	input/ova_iptm80_ova_c4_iptm80_21b_protenix.json
3	OVA-C4-IPTM80-21C	41	input/ova_iptm80_ova_c4_iptm80_21c_protenix.json
4	OVA-C4-IPTM80-21E	41	input/ova_iptm80_ova_c4_iptm80_21e_protenix.json
5	OVA-C4-IPTM80-21G	41	input/ova_iptm80_ova_c4_iptm80_21g_protenix.json
6	OVA-C4-IPTM80-21H	41	input/ova_iptm80_ova_c4_iptm80_21h_protenix.json
7	OVA-C4-IPTM80-21I	41	input/ova_iptm80_ova_c4_iptm80_21i_protenix.json
0	OVA-C4-IPTM80-21M	41	input/ova_iptm80_ova_c4_iptm80_21m_protenix.json
1	OVA-C4-IPTM80-21P	41	input/ova_iptm80_ova_c4_iptm80_21p_protenix.json
2	OVA-C4-IPTM80-21S	41	input/ova_iptm80_ova_c4_iptm80_21s_protenix.json
3	OVA-C4-IPTM80-22Q	41	input/ova_iptm80_ova_c4_iptm80_22q_protenix.json
4	OVA-C4-IPTM80-19F	51	input/ova_iptm80_ova_c4_iptm80_19f_protenix.json
5	OVA-C4-IPTM80-19J	51	input/ova_iptm80_ova_c4_iptm80_19j_protenix.json
6	OVA-C4-IPTM80-19K	51	input/ova_iptm80_ova_c4_iptm80_19k_protenix.json
7	OVA-C4-IPTM80-19L	51	input/ova_iptm80_ova_c4_iptm80_19l_protenix.json
0	OVA-C4-IPTM80-19R	51	input/ova_iptm80_ova_c4_iptm80_19r_protenix.json
1	OVA-C4-IPTM80-20A	51	input/ova_iptm80_ova_c4_iptm80_20a_protenix.json
2	OVA-C4-IPTM80-20D	51	input/ova_iptm80_ova_c4_iptm80_20d_protenix.json
3	OVA-C4-IPTM80-20N	51	input/ova_iptm80_ova_c4_iptm80_20n_protenix.json
4	OVA-C4-IPTM80-20O	51	input/ova_iptm80_ova_c4_iptm80_20o_protenix.json
5	OVA-C4-IPTM80-20T	51	input/ova_iptm80_ova_c4_iptm80_20t_protenix.json
6	OVA-C4-IPTM80-21B	51	input/ova_iptm80_ova_c4_iptm80_21b_protenix.json
7	OVA-C4-IPTM80-21C	51	input/ova_iptm80_ova_c4_iptm80_21c_protenix.json
0	OVA-C4-IPTM80-21E	51	input/ova_iptm80_ova_c4_iptm80_21e_protenix.json
1	OVA-C4-IPTM80-21G	51	input/ova_iptm80_ova_c4_iptm80_21g_protenix.json
2	OVA-C4-IPTM80-21H	51	input/ova_iptm80_ova_c4_iptm80_21h_protenix.json
3	OVA-C4-IPTM80-21I	51	input/ova_iptm80_ova_c4_iptm80_21i_protenix.json
4	OVA-C4-IPTM80-21M	51	input/ova_iptm80_ova_c4_iptm80_21m_protenix.json
5	OVA-C4-IPTM80-21P	51	input/ova_iptm80_ova_c4_iptm80_21p_protenix.json
6	OVA-C4-IPTM80-21S	51	input/ova_iptm80_ova_c4_iptm80_21s_protenix.json
7	OVA-C4-IPTM80-22Q	51	input/ova_iptm80_ova_c4_iptm80_22q_protenix.json
