rank	candidate	source_system	n_mutations	af3_mean_iptm_25models	protenix_seed	protenix_iptm	protenix_ptm	protenix_plddt	protenix_min_incident_iptm	largest_component	full_connected	has_clash	native_c74_c121_bonds	interchain_ss_bonds	contact_edges	score_json	summary_json	cif
11	OVA-C4-IPTM80-19K	ova_body_c4_38	19	0.8168	31	0.817899763584137	0.8525746464729309	87.7281494140625	0.7907407283782959	4	1	0	4	0	A-B,A-C,A-D,B-C,B-D,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_19k_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_19k_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_19k_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_19k_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_19k_protenix_sample_0.cif
12	OVA-C4-IPTM80-19L	ova_body_c4_51	19	0.8148000000000001	31	0.4707646369934082	0.5883892178535461	85.27245330810547	0.584304928779602	4	1	0	4	0	A-C,A-D,B-C,B-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_19l_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_19l_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_19l_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_19l_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_19l_protenix_sample_0.cif
13	OVA-C4-IPTM80-21M	ova_body_c4_106	21	0.8128	31	0.3972536325454712	0.5313990712165833	83.42176055908203	0.46195122599601746	4	1	0	4	0	A-B,A-D,B-C,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_21m_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_21m_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21m_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_21m_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21m_protenix_sample_0.cif
14	OVA-C4-IPTM80-20N	ova_body_c4_104	20	0.8112	31	0.7122889161109924	0.7693699598312378	86.20909881591797	0.7129490375518799	4	1	0	4	0	A-B,A-C,A-D,B-C,B-D,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_20n_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_20n_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_20n_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_20n_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_20n_protenix_sample_0.cif
15	OVA-C4-IPTM80-20O	ova_body_c4_100	20	0.8112	31	0.5451492667198181	0.6441507339477539	85.49356079101562	0.5826997756958008	4	1	0	4	0	A-C,A-D,B-C,B-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_20o_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_20o_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_20o_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_20o_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_20o_protenix_sample_0.cif
16	OVA-C4-IPTM80-21P	ova_body_c4_46	21	0.8104	31	0.4137342870235443	0.5446187853813171	83.9248275756836	0.506349503993988	4	1	0	4	0	A-B,A-D,B-C,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_21p_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_21p_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21p_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_21p_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21p_protenix_sample_0.cif
17	OVA-C4-IPTM80-22Q	ova_body_c4_08	22	0.8096000000000001	31	0.4571603238582611	0.5803337693214417	84.85699462890625	0.5591235756874084	4	1	0	4	0	A-B,A-C,A-D,B-C,B-D,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_22q_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_22q_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_22q_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_22q_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_22q_protenix_sample_0.cif
18	OVA-C4-IPTM80-19R	ova_body_c4_62	19	0.8088	31	0.6650670170783997	0.7346569299697876	85.84745788574219	0.6668933629989624	4	1	0	4	0	A-B,A-C,A-D,B-C,B-D,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_19r_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_19r_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_19r_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_19r_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_19r_protenix_sample_0.cif
19	OVA-C4-IPTM80-21S	ova_body_c4_22	21	0.8088	31	0.775935709476471	0.8206865787506104	86.60875701904297	0.7763347625732422	4	1	0	4	0	A-B,A-C,A-D,B-C,B-D,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_21s_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_21s_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21s_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out/ova_iptm80_ova_c4_iptm80_21s_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_21s_protenix_sample_0.cif
20	OVA-C4-IPTM80-20T	ova_body_c4_11	20	0.806	31	0.4153520464897156	0.5493763089179993	83.83834075927734	0.5968553423881531	4	1	0	4	0	A-B,A-C,B-D,C-D	experiments/e148_final20_protenix_v2_all_seed31/scores/ova_iptm80_ova_c4_iptm80_20t_protenix_score.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_20t_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_20t_protenix_summary_confidence_sample_0.json	experiments/e148_final20_protenix_v2_all_seed31/out_volc/ova_iptm80_ova_c4_iptm80_20t_protenix/seed_31/predictions/ova_iptm80_ova_c4_iptm80_20t_protenix_sample_0.cif
