candidate	seed	n_models	mean_iptm	min_iptm	max_iptm
OVA-C4-IPTM80-21G	2	5	0.82	0.81	0.83
OVA-C4-IPTM80-21G	3	5	0.828	0.82	0.83
OVA-C4-IPTM80-21G	4	5	0.834	0.83	0.84
OVA-C4-IPTM80-21G	5	5	0.8119999999999999	0.8	0.82
OVA-C4-IPTM80-21H	1	5	0.8300000000000001	0.82	0.84
OVA-C4-IPTM80-21H	2	5	0.82	0.82	0.82
OVA-C4-IPTM80-21H	3	5	0.8320000000000001	0.83	0.84
OVA-C4-IPTM80-21H	4	5	0.8219999999999998	0.81	0.83
OVA-C4-IPTM80-21H	5	5	0.8080000000000002	0.8	0.81
OVA-C4-IPTM80-21I	1	5	0.826	0.82	0.84
OVA-C4-IPTM80-21I	2	5	0.826	0.82	0.83
OVA-C4-IPTM80-21I	3	5	0.818	0.81	0.83
OVA-C4-IPTM80-21I	4	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-21I	5	5	0.818	0.81	0.83
OVA-C4-IPTM80-19J	1	5	0.808	0.8	0.82
OVA-C4-IPTM80-19J	2	5	0.8240000000000001	0.82	0.83
OVA-C4-IPTM80-19J	3	5	0.8239999999999998	0.82	0.83
OVA-C4-IPTM80-19J	4	5	0.828	0.82	0.84
OVA-C4-IPTM80-19J	5	5	0.8240000000000001	0.82	0.83
OVA-C4-IPTM80-19K	1	5	0.818	0.81	0.82
OVA-C4-IPTM80-19K	2	5	0.812	0.81	0.82
OVA-C4-IPTM80-19K	3	5	0.8160000000000001	0.81	0.82
OVA-C4-IPTM80-19K	4	5	0.8160000000000001	0.8	0.83
OVA-C4-IPTM80-19K	5	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-19L	1	5	0.818	0.81	0.83
OVA-C4-IPTM80-19L	2	5	0.834	0.83	0.84
OVA-C4-IPTM80-19L	3	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-19L	4	5	0.818	0.8	0.83
OVA-C4-IPTM80-19L	5	5	0.782	0.76	0.79
OVA-C4-IPTM80-21M	1	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-21M	2	5	0.82	0.82	0.82
OVA-C4-IPTM80-21M	3	5	0.8099999999999999	0.8	0.82
OVA-C4-IPTM80-21M	4	5	0.79	0.78	0.8
OVA-C4-IPTM80-21M	5	5	0.8219999999999998	0.82	0.83
OVA-C4-IPTM80-20N	1	5	0.8140000000000001	0.81	0.82
OVA-C4-IPTM80-20N	2	5	0.796	0.79	0.8
OVA-C4-IPTM80-20N	3	5	0.8160000000000001	0.81	0.82
OVA-C4-IPTM80-20N	4	5	0.82	0.81	0.83
OVA-C4-IPTM80-20N	5	5	0.8100000000000002	0.8	0.82
OVA-C4-IPTM80-20O	1	5	0.8140000000000001	0.8	0.83
OVA-C4-IPTM80-20O	2	5	0.7920000000000001	0.78	0.81
OVA-C4-IPTM80-20O	3	5	0.8039999999999999	0.8	0.81
OVA-C4-IPTM80-20O	4	5	0.8239999999999998	0.81	0.83
OVA-C4-IPTM80-20O	5	5	0.8219999999999998	0.81	0.83
OVA-C4-IPTM80-21P	1	5	0.8119999999999999	0.8	0.83
OVA-C4-IPTM80-21P	2	5	0.8100000000000002	0.8	0.82
OVA-C4-IPTM80-21P	3	5	0.8160000000000001	0.8	0.83
OVA-C4-IPTM80-21P	4	5	0.8039999999999999	0.8	0.81
OVA-C4-IPTM80-21P	5	5	0.8099999999999999	0.8	0.82
OVA-C4-IPTM80-22Q	1	5	0.806	0.8	0.81
OVA-C4-IPTM80-22Q	2	5	0.82	0.81	0.83
OVA-C4-IPTM80-22Q	3	5	0.806	0.8	0.81
OVA-C4-IPTM80-22Q	4	5	0.808	0.8	0.82
OVA-C4-IPTM80-22Q	5	5	0.808	0.8	0.81
OVA-C4-IPTM80-19R	1	5	0.8099999999999999	0.8	0.82
OVA-C4-IPTM80-19R	2	5	0.82	0.81	0.83
OVA-C4-IPTM80-19R	3	5	0.796	0.79	0.8
OVA-C4-IPTM80-19R	4	5	0.8140000000000001	0.81	0.83
OVA-C4-IPTM80-19R	5	5	0.804	0.79	0.82
OVA-C4-IPTM80-21S	1	5	0.8160000000000001	0.81	0.83
OVA-C4-IPTM80-21S	2	5	0.8100000000000002	0.8	0.82
OVA-C4-IPTM80-21S	3	5	0.7820000000000001	0.76	0.81
OVA-C4-IPTM80-21S	4	5	0.812	0.8	0.82
OVA-C4-IPTM80-21S	5	5	0.8240000000000001	0.82	0.83
OVA-C4-IPTM80-20T	1	5	0.8039999999999999	0.8	0.81
OVA-C4-IPTM80-20T	2	5	0.812	0.81	0.82
OVA-C4-IPTM80-20T	3	5	0.7979999999999999	0.79	0.81
OVA-C4-IPTM80-20T	4	5	0.8140000000000001	0.81	0.83
OVA-C4-IPTM80-20T	5	5	0.8019999999999999	0.79	0.81
