candidate	n_models	mean_iptm	median_iptm	min_iptm	min_seed_mean_iptm	mean_weakest_interface_iptm	min_weakest_interface_iptm	mean_interface_pae	max_interface_pae	zero_atomic_clash_models	zero_ca_overlap_models	valid_c4_network_models	zero_interchain_ss_models	native_ss_complete_models	two_interfaces_design_ge3_models	main_topology_cluster_size	topology_cluster_sizes	mean_pairwise_permutation_jaccard	mean_design_interface_recurrence	design_mutations_recurrence_ge80_fraction	mean_chain_plddt	min_model_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	gate_af3_model_count_25	gate_af3_mean_iptm_gt_0p80	gate_af3_median_iptm_ge_0p80	gate_af3_min_iptm_ge_0p75	gate_af3_each_seed_mean_ge_0p78	gate_af3_mean_weakest_ge_0p75	gate_af3_min_weakest_ge_0p70	gate_af3_mean_pae_le_4p0	gate_af3_max_pae_le_5p0	gate_af3_25_zero_atomic_clash	gate_af3_25_zero_ca_overlap	gate_af3_25_valid_c4_network	gate_af3_25_zero_interchain_ss	gate_af3_25_native_ss_complete	gate_af3_main_topology_cluster_ge20	gate_af3_mean_design_recurrence_ge_0p65	gate_af3_design_ge80_fraction_ge_0p60	gate_af3_two_interfaces_design_ge3_in_ge20_models	gate_af3_mean_plddt_ge_85	gate_af3_max_chain_rmsd_le_2p0	accepted_af3_recomputed	failed_af3_gates
OVA-C4-IPTM80-19K	25	0.8168	0.82	0.8	0.812	0.778	0.76	2.716	2.975	22	25	24	25	25	25	25	25	0.7690087807997743	0.7894736842105263	0.7894736842105263	89.60836088427608	89.03922274693306	1.5839911632289165	1.8140137146472877	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash;gate_af3_25_valid_c4_network
OVA-C4-IPTM80-19L	25	0.8148	0.82	0.76	0.782	0.7932	0.76	2.7752	3.66	13	25	25	25	25	25	24	24,1	0.6427300824617614	0.751578947368421	0.7368421052631579	90.17557148898821	89.38984458804748	1.5948024507867096	2.004210249089901	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	gate_af3_25_zero_atomic_clash;gate_af3_max_chain_rmsd_le_2p0
OVA-C4-IPTM80-21M	25	0.8128	0.82	0.78	0.79	0.7776000000000001	0.74	2.8384	3.315	16	25	25	25	25	25	25	25	0.6874037491622575	0.700952380952381	0.7142857142857143	89.33158419870959	88.33839387844263	1.6105243152517075	1.7462820310231164	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-20N	25	0.8112	0.81	0.79	0.796	0.7724	0.75	2.8462	3.3049999999999997	13	25	25	25	25	23	25	25	0.6146252598495797	0.716	0.7	89.57610984752833	89.03639869492288	1.5650279178629063	1.6666830022535302	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-20O	25	0.8112	0.81	0.78	0.792	0.7728	0.74	3.0032	3.51	14	25	25	25	25	24	25	25	0.6950432611363409	0.71	0.7	89.55616087043842	88.99064768657783	1.6303317987311043	1.7691525584783516	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-21P	25	0.8104	0.81	0.8	0.804	0.7712	0.76	2.9598	3.35	16	25	24	25	25	23	25	25	0.6313731318053667	0.7295238095238096	0.7142857142857143	89.99122773027173	89.435466371052	1.565087687771138	1.6532738966704406	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash;gate_af3_25_valid_c4_network
OVA-C4-IPTM80-22Q	25	0.8096	0.81	0.8	0.806	0.7688	0.75	2.8474	3.085	11	25	25	25	25	25	25	25	0.7871831815293906	0.7109090909090909	0.6818181818181818	89.69433833226022	89.09227981962688	1.6268205400983482	1.9438363081973307	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-19R	25	0.8088000000000001	0.81	0.79	0.796	0.7688	0.75	2.9494	3.355	17	25	25	25	25	25	25	25	0.6646466816809674	0.7768421052631579	0.7894736842105263	89.61227411240493	89.11829025387146	1.5644352418778815	2.0147120997760535	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	gate_af3_25_zero_atomic_clash;gate_af3_max_chain_rmsd_le_2p0
OVA-C4-IPTM80-21S	25	0.8088	0.81	0.76	0.782	0.7688	0.71	3.014	3.96	19	25	25	25	25	25	25	25	0.7801862794615714	0.7485714285714286	0.7142857142857143	89.91285778144481	88.9819429427231	1.5408933216462242	1.6880529489314786	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash
OVA-C4-IPTM80-20T	25	0.806	0.81	0.79	0.798	0.7692	0.76	2.9674	3.5949999999999998	4	25	25	25	24	25	25	25	0.8063595605457577	0.75	0.75	89.9465665724364	89.16150246259463	1.5703687707056972	1.7943780756439143	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	gate_af3_25_zero_atomic_clash;gate_af3_25_native_ss_complete
