candidate	n_seeds	seeds	mean_iptm	median_iptm	min_iptm	mean_min_incident_iptm	mean_ptm	mean_plddt_normalized	mean_interface_gpde	full_connected_zero_clash_clean_models	main_topology_cluster_size	topology_cluster_sizes	af3_protenix_contact_jaccard	shared_nonvdw_position_type_count	gate_protenix_5_seeds	gate_protenix_5of5_geometry_clean	gate_protenix_mean_iptm_ge0p70	gate_protenix_median_iptm_ge0p70	gate_protenix_min_iptm_ge0p60	gate_protenix_mean_weakest_ge0p65	gate_protenix_mean_ptm_ge0p82	gate_protenix_mean_plddt_ge0p85	gate_protenix_mean_interface_pae_le7p5	gate_protenix_main_cluster_ge4	gate_protenix_af3_jaccard_ge0p40	gate_protenix_shared_nonvdw_ge8	crossmodel_validated	failed_protenix_gates
OVA-C4-IPTM80-19K	1	31	0.817899763584137	0.817899763584137	0.817899763584137	0.7907407283782959	0.8525746464729309	0.877281494140625	2.5040587981541953	0	1	1	0.6474576271186441		0	0	0	0	0	0	0	0	0	0	1	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-19L	1	31	0.4707646369934082	0.4707646369934082	0.4707646369934082	0.584304928779602	0.5883892178535461	0.8527245330810547	8.550479650497437	0	1	1	0.22443890274314215		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21M	1	31	0.3972536325454712	0.3972536325454712	0.3972536325454712	0.46195122599601746	0.5313990712165833	0.8342176055908204	9.334331154823303	0	1	1	0.18097447795823665		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-20N	1	31	0.7122889161109924	0.7122889161109924	0.7122889161109924	0.7129490375518799	0.7693699598312378	0.8620909881591797	4.540080348650615	0	1	1	0.5304347826086957		0	0	0	0	0	0	0	0	0	0	1	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-20O	1	31	0.5451492667198181	0.5451492667198181	0.5451492667198181	0.5826997756958008	0.6441507339477539	0.8549356079101562	5.714812994003296	0	1	1	0.24537037037037038		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21P	1	31	0.4137342870235443	0.4137342870235443	0.4137342870235443	0.506349503993988	0.5446187853813171	0.8392482757568359	9.498902320861816	0	1	1	0.31921824104234525		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-22Q	1	31	0.4571603238582611	0.4571603238582611	0.4571603238582611	0.5591235756874084	0.5803337693214417	0.8485699462890625	9.215794722239176	0	1	1	0.4369747899159664		0	0	0	0	0	0	0	0	0	0	1	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-19R	1	31	0.6650670170783997	0.6650670170783997	0.6650670170783997	0.6668933629989624	0.7346569299697876	0.8584745788574218	4.583134055137634	0	1	1	0.4700854700854701		0	0	0	0	0	0	0	0	0	0	1	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-21S	1	31	0.775935709476471	0.775935709476471	0.775935709476471	0.7763347625732422	0.8206865787506104	0.8660875701904297	3.3202677965164185	0	1	1	0.7312925170068028		0	0	0	0	0	0	0	0	0	0	1	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_shared_nonvdw_ge8
OVA-C4-IPTM80-20T	1	31	0.4153520464897156	0.4153520464897156	0.4153520464897156	0.5968553423881531	0.5493763089179993	0.8383834075927734	10.328248620033264	0	1	1	0.08034188034188035		0	0	0	0	0	0	0	0	0	0	0	0	0	gate_protenix_5_seeds;gate_protenix_5of5_geometry_clean;gate_protenix_mean_iptm_ge0p70;gate_protenix_median_iptm_ge0p70;gate_protenix_min_iptm_ge0p60;gate_protenix_mean_weakest_ge0p65;gate_protenix_mean_ptm_ge0p82;gate_protenix_mean_plddt_ge0p85;gate_protenix_mean_interface_pae_le7p5;gate_protenix_main_cluster_ge4;gate_protenix_af3_jaccard_ge0p40;gate_protenix_shared_nonvdw_ge8
